location,rainfall_mm,flood_risk
Toa Payoh,10.69,0.001
Toa Payoh,34.13,0.0101
Toa Payoh,25.47,0.0043
Toa Payoh,63.53,0.1615
Toa Payoh,9.55,0.0009
Toa Payoh,34.25,0.0102
Toa Payoh,55.76,0.0814
Toa Payoh,28.96,0.006
Toa Payoh,18.77,0.0022
Toa Payoh,28.41,0.0057
Toa Payoh,60.18,0.1211
Toa Payoh,60.16,0.1209
Toa Payoh,22.78,0.0033
Toa Payoh,59.47,0.1137
Toa Payoh,24.56,0.0039
Toa Payoh,45.07,0.0295
Toa Payoh,37.15,0.0136
Toa Payoh,18.16,0.0021
Toa Payoh,11.05,0.001
Toa Payoh,56.75,0.0891
Toa Payoh,67.55,0.2235
Toa Payoh,33.66,0.0096
Toa Payoh,24.53,0.0039
Toa Payoh,8.41,0.0008
Toa Payoh,55.77,0.0815
Toa Payoh,30.9,0.0073
Toa Payoh,20.31,0.0026
Toa Payoh,45.95,0.0321
Toa Payoh,6.94,0.0007
Toa Payoh,10.2,0.0009
Toa Payoh,14.04,0.0014
Toa Payoh,36.33,0.0125
Toa Payoh,28.64,0.0058
Toa Payoh,39.42,0.017
Toa Payoh,53.23,0.0644
Toa Payoh,40.42,0.0187
Toa Payoh,82.79,0.5693
Toa Payoh,53.15,0.0639
Toa Payoh,22.74,0.0032
Toa Payoh,16,0.0017
Toa Payoh,23.29,0.0034
Toa Payoh,41.41,0.0207
Toa Payoh,17.48,0.0019
Toa Payoh,42.21,0.0223
Toa Payoh,38.91,0.0162
Toa Payoh,10.91,0.001
Toa Payoh,52.48,0.06
Toa Payoh,32.81,0.0088
Toa Payoh,80.16,0.5041
Toa Payoh,24.63,0.0039
Toa Payoh,19.58,0.0024
Toa Payoh,9.64,0.0009
Toa Payoh,9.5,0.0009
Toa Payoh,48.29,0.0403
Toa Payoh,74.91,0.3755
Toa Payoh,23.03,0.0033
Toa Payoh,21.87,0.003
Toa Payoh,26.38,0.0047
Toa Payoh,54.92,0.0753
Toa Payoh,11,0.001
Toa Payoh,29.91,0.0066
Toa Payoh,49.04,0.0433
Toa Payoh,36.01,0.0121
Toa Payoh,0.69,0.0004
Toa Payoh,40.56,0.019
Toa Payoh,36.26,0.0124
Toa Payoh,62.15,0.1437
Toa Payoh,71.02,0.2895
Changi,60.09,0.1201
Changi,26.49,0.0047
Changi,5.04,0.0006
Changi,21.75,0.0029
Changi,25.85,0.0044
Changi,74.29,0.3609
Changi,13.2,0.0013
Changi,7.16,0.0007
Changi,17.57,0.0019
Changi,13.85,0.0013
Changi,6.46,0.0006
Changi,23.42,0.0035
Changi,26.63,0.0048
Changi,6.06,0.0006
Changi,19.48,0.0023
Changi,13.08,0.0012
Changi,27.29,0.0051
Changi,29.36,0.0063
Changi,13.08,0.0012
Changi,52.16,0.0582
Changi,25.41,0.0042
Changi,13.64,0.0013
Changi,5.65,0.0006
Changi,30.54,0.0071
Changi,36.2,0.0124
Changi,16.76,0.0018
Changi,27.95,0.0055
Changi,71.02,0.2895
Changi,46.7,0.0346
Changi,2.19,0.0004
Changi,13.5,0.0013
Changi,22.54,0.0032
Changi,26.52,0.0047
Changi,28.41,0.0057
Changi,34.57,0.0105
Changi,23.14,0.0034
Changi,25.37,0.0042
Changi,48.37,0.0406
Changi,30.98,0.0074
Changi,8.75,0.0008
Changi,27.16,0.005
Changi,22.59,0.0032
Changi,3.4,0.0005
Changi,28.23,0.0056
Changi,9.91,0.0009
Changi,48.86,0.0426
Changi,34.22,0.0102
Changi,8.28,0.0008
Changi,47.36,0.0368
Changi,62.82,0.1522
Changi,20.46,0.0026
Changi,22.49,0.0032
Changi,44.22,0.0272
Changi,59.72,0.1163
Changi,4.65,0.0005
Changi,9.27,0.0008
Changi,17.86,0.002
Changi,19.5,0.0024
Changi,43.34,0.0249
Changi,59.93,0.1184
Changi,62.94,0.1536
Changi,4.52,0.0005
Changi,12.42,0.0012
Changi,15.19,0.0015
Changi,12.37,0.0012
Changi,34.14,0.0101
Changi,37.14,0.0136
Changi,25.12,0.0041
Changi,23.33,0.0034
Changi,18.5,0.0021
Changi,20.32,0.0026
Changi,70.49,0.2788
Changi,41.07,0.02
Changi,19.08,0.0023
Changi,22.98,0.0033
Changi,34.71,0.0107
Changi,8.27,0.0008
Changi,27.87,0.0054
Changi,39.5,0.0171
Changi,36.01,0.0121
Changi,12.64,0.0012
Changi,14.8,0.0015
Changi,2.92,0.0004
Changi,42.46,0.0229
Changi,90.51,0.741
Changi,11.09,0.001
Changi,52.95,0.0627
Changi,85.33,0.6302
Changi,17.03,0.0018
Changi,23,0.0033
Pasir Ris,30.24,0.0069
Pasir Ris,35.19,0.0112
Pasir Ris,31.45,0.0077
Pasir Ris,18.16,0.0021
Pasir Ris,39.07,0.0164
Pasir Ris,18.5,0.0021
Pasir Ris,33.04,0.009
Pasir Ris,24.44,0.0038
Pasir Ris,3.99,0.0005
Pasir Ris,58.26,0.1021
Pasir Ris,15.15,0.0015
Pasir Ris,62.18,0.144
Pasir Ris,51.53,0.0549
Pasir Ris,29.58,0.0064
Pasir Ris,36.51,0.0128
Pasir Ris,39.69,0.0174
Pasir Ris,21.37,0.0028
Pasir Ris,22.18,0.0031
Pasir Ris,38.35,0.0153
Pasir Ris,24.64,0.0039
Pasir Ris,18.21,0.0021
Pasir Ris,12.82,0.0012
Pasir Ris,33.74,0.0097
Pasir Ris,14.72,0.0015
Pasir Ris,45.69,0.0314
Pasir Ris,48.37,0.0406
Pasir Ris,36.31,0.0125
Pasir Ris,41.83,0.0215
Pasir Ris,36.39,0.0126
Pasir Ris,43.92,0.0264
Pasir Ris,42.64,0.0233
Pasir Ris,32.44,0.0085
Pasir Ris,51.98,0.0572
Pasir Ris,21.97,0.003
Pasir Ris,13.17,0.0013
Pasir Ris,12.58,0.0012
Pasir Ris,19.5,0.0024
Pasir Ris,3.34,0.0005
Pasir Ris,29.36,0.0063
Pasir Ris,40.06,0.0181
Pasir Ris,47.91,0.0388
Pasir Ris,5,0.0006
Pasir Ris,12.95,0.0012
Pasir Ris,44.75,0.0286
Pasir Ris,21.43,0.0029
Pasir Ris,39.43,0.017
Pasir Ris,7.86,0.0007
Pasir Ris,61.69,0.1381
Pasir Ris,7.26,0.0007
Pasir Ris,28.73,0.0059
Pasir Ris,29.28,0.0062
Pasir Ris,16.64,0.0018
Pasir Ris,35.41,0.0114
Pasir Ris,36.12,0.0123
Pasir Ris,33.4,0.0094
Pasir Ris,16.38,0.0017
Pasir Ris,13.82,0.0013
Pasir Ris,17.88,0.002
Pasir Ris,12.22,0.0011
Pasir Ris,53.6,0.0666
Pasir Ris,19.17,0.0023
Pasir Ris,28.13,0.0056
Pasir Ris,44.62,0.0283
Pasir Ris,11.69,0.0011
Pasir Ris,6.95,0.0007
Pasir Ris,12.25,0.0011
Pasir Ris,30.44,0.007
Pasir Ris,28.94,0.006
Pasir Ris,33.35,0.0093
Pasir Ris,23.05,0.0034
Pasir Ris,1.27,0.0004
Pasir Ris,22.49,0.0032
Pasir Ris,48.74,0.0421
Pasir Ris,57.39,0.0944
Pasir Ris,26.76,0.0048
Pasir Ris,29.02,0.0061
Pasir Ris,38.92,0.0162
Pasir Ris,56.31,0.0856
Pasir Ris,25.01,0.0041
Pasir Ris,38.54,0.0156
Pasir Ris,15.78,0.0016
Pasir Ris,8.03,0.0007
Pasir Ris,17.21,0.0019
Pasir Ris,64.99,0.1823
Pasir Ris,39.09,0.0164
Pasir Ris,8.8,0.0008
Pasir Ris,40.36,0.0186
Pasir Ris,9.46,0.0009
Pasir Ris,33.02,0.009
Pasir Ris,11.28,0.001
Yishun,8.32,0.0008
Yishun,72.21,0.3145
Yishun,19.16,0.0023
Yishun,38.59,0.0157
Yishun,25.8,0.0044
Yishun,10.18,0.0009
Yishun,20.83,0.0027
Yishun,10.27,0.0009
Yishun,106.87,0.9362
Yishun,43.48,0.0253
Yishun,25.44,0.0043
Yishun,37.16,0.0136
Yishun,41.57,0.021
Yishun,41.65,0.0211
Yishun,40.42,0.0188
Yishun,38.3,0.0152
Yishun,27.02,0.005
Yishun,68.59,0.2422
Yishun,28.33,0.0057
Yishun,26,0.0045
Yishun,28.51,0.0058
Yishun,30.03,0.0067
Yishun,5.05,0.0006
Yishun,12.14,0.0011
Yishun,23.05,0.0034
Yishun,4.77,0.0005
Yishun,25.41,0.0042
Yishun,29.74,0.0065
Yishun,7.68,0.0007
Yishun,14.86,0.0015
Yishun,58.94,0.1085
Yishun,37.43,0.014
Yishun,35.94,0.0121
Yishun,54.22,0.0705
Yishun,12.36,0.0012
Yishun,7.7,0.0007
Yishun,49.41,0.0448
Yishun,23.56,0.0035
Yishun,12.06,0.0011
Yishun,5,0.0006
Yishun,28.75,0.0059
Yishun,21.5,0.0029
Yishun,18.7,0.0022
Yishun,1.97,0.0004
Yishun,68,0.2315
Yishun,6.32,0.0006
Yishun,20.18,0.0025
Yishun,17.57,0.0019
Yishun,38.22,0.0151
Yishun,5.07,0.0006
Yishun,35.06,0.0111
Yishun,28.86,0.006
Yishun,14.25,0.0014
Yishun,34.19,0.0101
Yishun,25.37,0.0042
Yishun,78.75,0.4687
Yishun,21.48,0.0029
Yishun,10.68,0.001
Yishun,35.31,0.0113
Yishun,19.41,0.0023
Yishun,24.99,0.0041
Yishun,7.76,0.0007
Yishun,38.63,0.0157
Yishun,16.96,0.0018
Yishun,30.51,0.007
Yishun,91.69,0.7629
Yishun,20.51,0.0026
Yishun,42.36,0.0227
Yishun,21.65,0.0029
Yishun,14.42,0.0014
Yishun,60.31,0.1225
Yishun,3.48,0.0005
Yishun,50.03,0.0475
Yishun,2.97,0.0005
Yishun,46.57,0.0341
Yishun,25.28,0.0042
Yishun,10.7,0.001
Yishun,17.92,0.002
Yishun,40.78,0.0194
Yishun,86.13,0.6486
Yishun,5.3,0.0006
Yishun,11.32,0.001
Yishun,7.07,0.0007
Yishun,21.51,0.0029
Yishun,47.43,0.0371
Yishun,6.11,0.0006
Yishun,24.77,0.004
Yishun,46.41,0.0336
Yishun,17.71,0.002
Yishun,29.05,0.0061
Bukit Batok,57.38,0.0943
Bukit Batok,9.47,0.0009
Bukit Batok,3.95,0.0005
Bukit Batok,31.71,0.0079
Bukit Batok,32.36,0.0085
Bukit Batok,16.7,0.0018
Bukit Batok,14.07,0.0014
Bukit Batok,25.67,0.0043
Bukit Batok,9.3,0.0008
Bukit Batok,9.32,0.0009
Bukit Batok,40.6,0.0191
Bukit Batok,8.7,0.0008
Bukit Batok,4.26,0.0005
Bukit Batok,14.04,0.0014
Bukit Batok,17.04,0.0018
Bukit Batok,35.06,0.011
Bukit Batok,15.12,0.0015
Bukit Batok,63.9,0.1666
Bukit Batok,26.69,0.0048
Bukit Batok,12.39,0.0012
Bukit Batok,34.01,0.01
Bukit Batok,63.15,0.1564
Bukit Batok,39.83,0.0177
Bukit Batok,5.73,0.0006
Bukit Batok,18.28,0.0021
Bukit Batok,30.16,0.0068
Bukit Batok,38.69,0.0158
Bukit Batok,21.62,0.0029
Bukit Batok,19.29,0.0023
Bukit Batok,78.37,0.4593
Bukit Batok,40.24,0.0184
Bukit Batok,34.08,0.01
Bukit Batok,15.67,0.0016
Bukit Batok,9.17,0.0008
Bukit Batok,34.51,0.0105
Bukit Batok,43.32,0.0249
Bukit Batok,24.89,0.004
Bukit Batok,40.31,0.0186
Bukit Batok,41.03,0.0199
Bukit Batok,45.31,0.0302
Bukit Batok,5.62,0.0006
Bukit Batok,18.7,0.0022
Bukit Batok,36,0.0121
Bukit Batok,25.98,0.0045
Bukit Batok,41.12,0.0201
Bukit Batok,34.07,0.01
Bukit Batok,2.19,0.0004
Bukit Batok,52.83,0.062
Bukit Batok,16.83,0.0018
Bukit Batok,11.74,0.0011
Bukit Batok,51.66,0.0555
Bukit Batok,38.95,0.0162
Bukit Batok,56.58,0.0877
Bukit Batok,30.41,0.007
Bukit Batok,18.51,0.0021
Bukit Batok,27.88,0.0054
Bukit Batok,9.89,0.0009
Bukit Batok,6.89,0.0007
Bukit Batok,14.69,0.0015
Bukit Batok,68.01,0.2317
Bukit Batok,15.99,0.0017
Bukit Batok,4.37,0.0005
Bukit Batok,22.1,0.003
Bukit Batok,15.81,0.0016
Bukit Batok,53.48,0.0659
Bukit Batok,64.85,0.1802
Bukit Batok,17.82,0.002
Bukit Batok,30.39,0.007
Bukit Batok,32.27,0.0084
Bukit Batok,24.07,0.0037
Bukit Batok,20.8,0.0027
Bukit Batok,11.03,0.001
Bukit Batok,3.58,0.0005
Bukit Batok,10.97,0.001
Bukit Batok,23.42,0.0035
Bukit Batok,6.12,0.0006
Bukit Batok,29.23,0.0062
Bukit Batok,26.37,0.0047
Bukit Batok,15.84,0.0016
Bukit Batok,20.1,0.0025
Bukit Batok,7.33,0.0007
Bukit Batok,44.76,0.0286
Bukit Batok,44.23,0.0272
Bukit Batok,8.71,0.0008
Bukit Batok,8.95,0.0008
Bukit Batok,11.11,0.001
Bukit Batok,37.27,0.0138
Bukit Batok,32.19,0.0083
Bukit Batok,51.26,0.0535
Bukit Batok,55.18,0.0771
